"API Login ID","รหัสเข้าสู่ระบบ API "
"Authorize Only","Authorize เท่านั้น"
"Authorize and Capture","Authorize และ Capture"
"Cancel","ยกเลิก"
"Credit Card Types","ประเภทบัตรเครดิต"
"Credit Card Verification","การตรวจสอบบัตรเครดิต"
"Enabled","เปิดใช้งาน"
"Invalid amount for authorization.","จำนวนเงินสำหรับการอนุมัติไม่ถูกต้อง"
"Payment Action","การดำเนินการชำระเงิน"
"Payment authorization error.","ความผิดพลาดในการอนุมัติชำระเงิน"
"Payment capturing error.","Payment capturing เกิดข้อผิดพลาด"
"Sort Order","การเรียงลำดับ"
"Test Mode","โหมดทดสอบ:"
"failed","ล้มเหลว"
"successful","สำเร็จแล้ว"
