"Actions","การดำเนินการ"
"Are you sure?","คุณแน่ใจหรือไม่?"
"Date Added","วันที่เพิ่ม:"
"Last Update","อัปเดตล่าสุด"
"Mark as Read","ทำเครื่องหมายว่าอ่านแล้ว"
"Message","ข้อ​ความ"
"Messages Inbox","กล่องข้อความ"
"Notifications","การแจ้งเตือน"
"Please select messages.","โปรดเลือกข้อความ"
"Read Details","อ่านรายละเอียด"
"Remove","ลบ"
"Severity","ความรุนแรง"
"Show List","แสดงรายการ"
"Show Toolbar","แสดงแถบเครื่องมือ"
"The message has been removed.","ข้อความได้ถูกลบแล้ว"
"Update Frequency","ความถี่อัปเดต"
"Use HTTPS to Get Feed","ใช้ HTTPS เพื่อรับฟีด"
"Wrong message type","ชนิดของข้อความไม่ถูกต้อง"
"critical","วิกฤต"
"notice","การแจ้งเตือน"
