"Allow for Guests","Tillåt för gäster"
"Back","Tillbaka"
"Email Address","E-postadress"
"Email Address:","E-postadress:"
"Email Templates","E-postmallar"
"Email to a Friend","E-posta till en vän"
"Email:","Epost:"
"Enabled","Aktiverad"
"Invalid Sender Information","Ogiltig avsändarinformation"
"Limit Sending By","Begränsa skickande med"
"Max Products Sent in 1 Hour","Maximalt antal skickade produkter per timme"
"Max Recipients","Max antal mottagare"
"Message:","Meddelande:"
"Name","Namn"
"Select Email Template","Välj E-postmall"
"Send Email","Skicka E-post"
"Some emails were not sent.","Viss e-post skickades inte."
"The link to a friend was sent.","Länken till en vän skickades."
