"Add Option","Agregar opción"
"Attempt to add an invalid object","Intento de añadir un objeto no válido"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Attribute Properties","Propiedades de atributo"
"Attribute object is undefined","Objeto de campo indefinido"
"Attribute with the same code","Atributo con el mismo código"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Data integrity: No header row found for attribute","Integridad de datos: No se ha encontrado una línea de encabezamiento para el campo"
"Date","Fecha"
"Decimal Number","Número decimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","El orden predeterminado del listado de artículos no existe en los listados de artículos disponibles."
"Default Value","Valor predeterminado"
"Default option value is not defined","El valor por defecto para la opción no está definido"
"Delete","Borrar"
"Dropdown","Lista desplegable"
"Email","Correo electrónico"
"Entity is not initialized","La entidad no está inicializada"
"Entity object is undefined","Objeto de entidad indefinido"
"Form Element with the same attribute","Formar elemento con el mismo atributo"
"Form Fieldset with the same code","Formar conjunto de campos con el mismo código"
"Form Type with the same code","Formar tipo con el mismo código"
"Input Validation for Store Owner","Validación de entrada para el propietario de la tienda"
"Integer Number","Número entero"
"Invalid alias, already exists in joint attributes","Alias inválido, ya existe en los atributos unidos."
"Invalid attribute type","Tipo de atributo no válido"
"Invalid date","Fecha no válida"
"Invalid default date","Fecha por defecto no válida"
"Invalid entity type","Tipo de entidad no válido"
"Invalid foreign key","Clave externa no válida"
"Invalid form type.","Tipo de formulario no válido."
"Invalid joint fields","Campos combinados no válidos"
"Joint field or attribute expression with this alias is already declared","Ya se ha declarado un campo combinado o una expresión de atributos con este alias"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) o números (0-9)"
"Multiple Select","Selección múltiple"
"No","No 	"
"None","Ninguno"
"Required","Requerido"
"System","Sistema"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (no compartido con otros productos)"
"Unknown parameter","Parámetro desconocido"
"Values Required","Valor obligatorio"
"Wrong attribute group ID","ID de grupo de atributos es erróneo"
"Wrong attribute set ID","ID de conjunto de atributos es erróneo"
"Wrong entity ID","ID de entidad erróneo"
"Yes","Sí"
"Yes/No","Sí/No"
