"-- Please Select --","-- Выберите --"
"Attribute Code","Код атрибута"
"Attribute Label","Метка атрибута"
"CSV","CSV (разделитель - запятые)"
"Check Data","Проверка данных"
"Customers","Покупатели"
"Entity Type","Тип сущности"
"Export","Экспорт"
"Export Settings","Экспорт настроек"
"File is valid! To start import process press ""Import"" button","Файл проверен! Чтобы начать процесс импорта, нажмите кнопку ""Импорт"""
"Filter","Фильтр"
"From","от"
"Import","Импорт"
"Import Behavior","Поведение"
"Import Settings","Импорт настроек"
"Import/Export","Импорт/Экспорт"
"Products","Товары"
"Select File to Import","Выберите файл для импорта"
"Status","Статус"
"There are no product types available for export","Нет типов продуктов, доступных для экспорта"
"To","До"
